Name,Question,Answer
Record (ISO 15489-1:2016),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Record (ISO 15489-1:2016 definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Information created or received and maintained as evidence and as an asset by an organization or person, in pursuit of legal obligation or in the transaction of business.</p>"
Original Order (Society American Archivists),"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Original Order (Society American Archivists definition)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The organization and sequence of records established by the creator of the records. FR: l'ordre primitif, respect de l'ordre intérieur.</p>"
Respect des Fonds,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Respect des Fonds</span></strong></p>","<p class=""medium"" style=""text-align: center;"">...or respect pour des fonds. Translated literally as respect of background (context). A principle for grouping records by the entirety of their context, by administration, organization, individual, entity, etc.</p>"
Provenance,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Provenance</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The background of a record that reveals its context, but which also allows the demonstration of the authenticity and integrity of the record’s content and meaning.</p>"
"Integrity (UNESCO, 2003) ","<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Integrity (UNESCO, 2003, definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The state of being whole, uncorrupted and free of unauthorised and undocumented changes.</p>"
"Authenticity (UNESCO, 2003)","<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Authenticity (UNESCO, 2003, definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Quality of genuineness and trustworthiness of some digital materials, as being what they purport to be, either as an original object or as a reliable copy derived by fully documented processes from an original.</p>"
Archival Silences,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Archival Silences</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Voices, and memories, of individuals, groups, or communities, and their activities – their marginalization, that don’t appear in the archival/documentary record due to the biases, unwittingly or otherwise, of the collecting institution; the nature of custodial archives; and/or an inability to access, and make available, the content of the record in meaningful ways.</p>"
File (Digital),"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>File (Digital)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">An information encoding that can be retrieved from digital storage and interpreted by a computer to be presented to the user in a suitable way.</p>"
File (Archival) (Society of American Archivists),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">File (Archival) (Society of American Archivists, definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A group of documents related by use or topic, typically housed in a folder (or a group of folders for a large file). The plural, files, is the whole of a collection of records.</p>"
Folder (Archival) (Society of American Archivists),"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Folder (Archival) (Society of American Archivists, definition)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A sheet of cardboard or heavy paper stock that is used as a loose cover to keep documents and other flat materials together, especially for the purposes of filing.</p>"
Folder (Digital),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Folder (Digital)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A delineation of digital storage that organizes files into groups. Synonymous with the term directory. A directory inside another is often called a sub-directory.</p>"
Redaction,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Redaction</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The obfuscation of sensitive, or secretive information in a document, e.g. to provide access e.g. to satisfy a freedom of information request. The information redacted may be protected through various legislation, e.g. data protection acts. Redaction protects individuals and organisations in appropriate circumstances.</p>"
Record Group,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Record Group</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A record group is a collection of records, organized by transferring, or depositing agency, sometimes divided into organizational division.</p>"
