Name,Question,Answer
Format Identification,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Format Identification</span></strong></p>","<p style=""text-align: center;"">Recognizing a file's format based on markers inside the binary stream. The first stage of digital preservation recognised as 'knowing what you've got'.</p>"
File Format Extension,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>File Format Extension</strong></span></p>","<p style=""text-align: center;"">File extensions are the characters following the last full-stop in a filename, e.g. '.txt', '.exe', '.xls'. A clue to the file's format but not a guarantee. </p>"
File Format Signature,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>File Format Signature</strong></span></p>","<p style=""text-align: center;"">Binary markers inside a file that indicate its format and version. To find a signature means reading a file's content and so it is a more sure way of finding what a file is.</p>"
Magic Number,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Magic Number</span></strong></p>","<p class=""medium"" style=""text-align: center;"">✨Magic✨ number is often used as a synonym for file format signature.</p><p class=""medium"" style=""text-align: center;"">The etymology for the term dates back to the seventh version of the Unix operating system (1979).</p><p class=""medium"" style=""text-align: center;"">The use of magic numbers grew as requirements for them did. The use of the phrase file format signature seems to have come about through the maturisation of the field of digital preservation.</p>"
Web Archiving,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Web Archiving</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The process of crawling a website in its current form and duplicating it, and its resorces (images, sound files, etc.) offline, or simply, elsewhere, that is, in a web-archive.</p>"
Memento,"<p style=""text-align: center;""><span class=""large""><strong>Memento</strong></span></p>","<ul>	<li>Memento is first a project to support web archiving and finding of web archives in a standardised way. </li>	<li>Memento is second, a synonym for the snapshot of a website - an archived website may be called a Memento.</li>	<li>Memento is an intitiative from Los Alamos National Laboratory and Old Dominion University, in the US. </li></ul>"
Web Crawling,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Web Crawling</span></strong></p>","<p style=""text-align: center;"">Automation of the web-archiving process. A tool crawls a website by looking at all of the links stemming from it and then visiting those one-by-one, potentially doing the same at the next site - figuratively, crawling.</p>"
Fixity,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Fixity</strong></span></p>","<p style=""text-align: center;"">Properties of an object, digital or otherwise, that prove it to be fixed - its state hasn't changed. The last-modified date of a file is a potential measure of fixity. A file's checksum value is a more robust measure of fixity. </p>"
Risk,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Risk</span></strong></p>","<p class=""medium"" style=""text-align: center;"">From risk management, the formal statement of a risk is as follows: </p><p class=""medium"" style=""text-align: center;""><em>""Because of <strong>x</strong> there is a risk that <strong>y</strong> which will result in <strong>z</strong>. ""</em></p><p class=""medium"" style=""text-align: center;"">The statement enables us to think about risk in terms of its impact and therefore steers us away from the concept of risk as in fear. </p><p class=""medium"" style=""text-align: center;"">Impacts should be measurable, and real.</p>"
Obsolescence,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Obsolescence</strong></span></p>","<p style=""text-align: center;"">The process of technology becoming unreadable ot unusable. Digital preservation requires monitoring of potential obsolesence.</p>"
Data Obfuscation,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Data Obfuscation</span></strong></p>","<p style=""text-align: center;"">Hiding data from plain-view or use such that it is obfuscated, e.g. encryption, redaction, and password protection.</p>"
Metadata,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Metadata</span></strong></p>","<p style=""text-align: center;"">Data about another item, for example, the number of pages in a book, and the number of words. Metadata about a digital object can be anything that describes that file or something in the file, for example, a digital image's resolution (number of pixels along the <em>x</em> and <em>y</em> axis.)</p>"
Metadata Extraction,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Metadata Extraction</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The extraction of metadata from a digital object, often using tools that can read the file and export the information in a machine-readable form such as XML or JSON.</p>"
Characterization,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Characterization</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Characterization is whereby metadata crucial to the preservation of the digital object is recorded.</p><p class=""medium"" style=""text-align: center;"">This information may describe the object itself or part of its technical environment.</p>"
Significant Properties,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Significant Properties</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Properties of individual records or groups of records that may be prioritised for preservation, and used as a measure of a successful ‘preservation action', e.g. if the number of pages in a record is considered to be important, it is a significant property we need to monitor and measure. </p>"
Metadata Mapping,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Metadata Mapping</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The process of selecting metadata about a digital object and encoding it into an alternative schema, e.g. for archival description, or preservation.</p>"
Digital Humanities,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Digital Humanities</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The use of digital techniques to support the scholarly study of the humanities (Literature, Archaeology, Architecture etc.).</p>"
Digital Archive (DIN Standard Definition),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Digital Archive (DIN (German Instituit for Standardization) Definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">An organisation (consisting of people and technical systems) which has assumed responsibility for the long-term preservation and long-term availability of digital data and its provision for a specified designated community.</p>"
Digital Preservation (Library of Congress),"<p class=""large"" style=""text-align: center;""><strong>Digital Preservation (Library of Congress definition)</strong></p>","<p class=""medium"" style=""text-align: center;"">Digital preservation is the active management of digital content over time to ensure ongoing access.</p>"
Digital Preservation (AV Preserve) ,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Digital Preservation (AV Preserve definition)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">Digital preservation is a function of digital curation, in which digital content is prepared and actively managed for long-term access.</p>"
Digital Preservation System,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Digital Preservation System</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A system, or set of systems and tools, that enable digital preservation.</p><p class=""medium"" style=""text-align: center;"">A system may be contrived of components for ingest, storage, preservation management, and access, as well as other functions.</p><p class=""medium"" style=""text-align: center;"">Industry examples include <strong>RODA</strong>, <strong>Archivematica</strong>, <strong>Preservica</strong>, and <strong>Rosetta</strong>.</p>"
Archive Management System,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Archive Management System</span></strong></p>","<ul>	<li class=""medium"">An archive management system commonly wraps functions that are not part of a digital preservation system.</li>	<li class=""medium"">An archive management system enables the description of digital records and the provision of context relevant or one or more archival models.</li>	<li class=""medium"">A connection must exist between the archive management system and a digital preservation system to allow digital records to be retrieved by their catalogue references.</li></ul>"
CMS/ECMS,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">CMS/ECMS</span></strong></p>","<ul>	<li class=""medium"">Content Management System/Enterprise Content Management System are contemporary methods of maintaining digital records in an organisation.</li>	<li class=""medium"">Systems manage storage and retrieval of records across the organisation for all users.</li>	<li class=""medium"">Systems will implement retention and disposal schedules, as well as wrapping records in suitable record keeping management and discovery metadata.</li></ul>"
Trusted Repository,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Trusted Repository</span></strong></p>","<ul>	<li class=""medium"">A repository certified as trusted following an audit using the measures defined in ISO standard 16363:2012.</li>	<li class=""medium"">A trusted repository will conform to measures surrounding Organizational Infrastructure. Digital Object Management. Infrastructure and Security Risk Management.</li>	<li class=""medium"">Bodies providing audit and assessment must also conform to ISO standard 16919:2014.</li></ul>"
Validity,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Validity</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A file format and its informational content that follows a set of rules defined in its specification is considered to be valid.</p>"
Well-Formed,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Well-Formed</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A file format that conforms to a structure defined by its specification is considered to be well-formed.</p>"
Intellectual Entity (PREMIS),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Intellectual Entity</span></strong></p>","<p style=""text-align: center;"">An item, or groupsing of items that constitute a record in a digital repository, e.g. a book is an intellectual entity made up of many pages. Different mechanisms of displaying or looking after this book may be called representations.</p>"
Standards,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Standards</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A standard is commonly a set of recommendations and principles, that may or may not require absolute compliance.</p><p class=""medium"" style=""text-align: center;"">From the International Organization for Standardization's (ISO) perspective, standards provide specifications for products, services, and systems, that help ensure quality, safety, and efficiency.</p><p class=""medium"" style=""text-align: center;"">In the digital preservation community, standards help to create a lingua franca as a platform to communicate upon.</p>"
Bitrot,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Bitrot</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The loss of data through degradation of a carrier medium, e.g. the loss of magnetic resonance on a floppy disk leading to the file allocation table (file directory) becoming unreadable.</p>"
Active Management,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Active Management</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The continuous monitoring of digital objects for changes in their bitstream. The monitoring of a file on a file system for bit rot.</p>"
Preservation Watch,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Preservation Watch</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The monitoring of the technical aspects of a digital object for obsolescence., e.g. the current long-term support status of a piece of software, or the introduction of a newer specification of a file format or standard.</p>"
Bit-level preservation,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Bit-level preservation</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The process of correcting a digital file that has suffered bit-rot, identified through the process of active management.</p>"
Dark Archive (Storage),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Dark Archive (for storage)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The use of offline, or near-line storage for digital archives. Little or no immediate access is provided. Files are preserved through bit-level preservation unless a concerted intervention is made by the archival institution.</p>"
Dark Archive (Access),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Dark Archive (for access)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A gamut of archival or preservation systems can be used to give users access to metadata and catalogue entries about records, but there is zero public access to the records themselves. A dark archive configuration like this may be used because information content demands it to be protected in such a way.</p>"
Audit (AV Preserve),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Audit (AV Preserve)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A review of a system to ensure compliance. The outcome of an audit is binary – either you pass or fail.</p>"
Assessment (AV Preserve),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Assessment (AV Preserve definition)</span></strong></p>","<p class=""medium"" style=""text-align: center;"">An assessment looks at how a system is succeeding and where there are gaps.</p><p class=""medium"" style=""text-align: center;"">The outcome of an assessment is feedback for growth;</p><p class=""medium"" style=""text-align: center;"">identification of gaps in practice; and spotlights strengths.</p><p class=""medium"" style=""text-align: center;"">Assessments completed regularly may lead to a successful pass on an audit (toward Trusted Digital Repository Status) in future.</p>"
Organizational Alignment (AV Preserve),"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Organizational Alignment (AV Preserve concept)</span></strong></p>","<ul>	<li class=""medium"">Beyond OAIS-like digital preservation (IT) systems; the coordination of digital preservation needs to happen 'outside-the-box' across the organization.</li>	<li class=""medium"">Organizations may be complex and there is a recognition that content of value may not be managed consistently across it and in-line with digital preservation principles.</li>	<li class=""medium"">Organizational alignment is the operationalization of digital preservation.</li></ul><p> </p>"
Library Carpentry,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Library Carpentry</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The development of practical digital skills, such as programming basics, for use in the GLAM sector.</p>"
Big Data,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Big Data</span></strong></p>","<ul>	<li>A popular definition of big data is data that requires a certain amount of computational power to be able to ask research questions and draw sensible conclusions from.</li>	<li>A working definition of 'big data' seems to be a range from Gigabytes (querying portions of your collection for keywords, for example), to the generation of a Gigabyte of data a second (the amount of data produced by the Large Hadron Collider in Switzerland)</li></ul><p> </p>"
Digital Continuity,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Digital Continuity</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The idea that preservation of digital records happens in situ in the organisation creating the records. Digital continuity focuses on the value of creating and maintaining the digital records in your organization. Principles of digital preservation apply to this material but the custodianship of an archival institution is not needed to apply them.</p>"
Audit Trail,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Audit Trail</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Related to the concept of provenance, an audit trail describes the agents and actors that have accessed a digital resource and the processes (read, write, transform) that have been applied to that resource.</p>"
Migration,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Migration</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The transformation of a file format into another file format with the same, or similar properties, e.g. migration of a JPEG image to PNG. Migration is a potential method of preserving digital information.</p><p class=""medium"" style=""text-align: center;"">The key for many users is the measurement and quality analysis of properties apparent in the data before, and after migration, and an understanding of what may be lost along the way.</p>"
Emulation,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Emulation</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The recreation of legacy, or current, computer architecture in software. A potential mechanism for allowing users to interact with archival records.</p><p> </p>"
