Name,Question,Answer
NDSA,"<p class=""large"" style=""text-align: center;"">NDSA</p>","<p class=""medium"" style=""text-align: center;"">National Digital Stewardship Alliance is a consortium of organizations (212, including, Digital Public Library of America, Yale University Library, and New York Public Library (NYPL)) committed to the long-term preservation of digital information.</p>"
"Levels of Preservation, Level 1","<p class=""large"" style=""text-align: center;"">Levels of Preservation, Level 1</p>","<p class=""medium"" style=""text-align: center;"">Protect your data</p>"
"Levels of Preservation, Level 2","<p class=""large"" style=""text-align: center;"">Levels of Preservation, Level 2</p>","<p class=""medium"" style=""text-align: center;"">Know your data</p>"
"Levels of Preservation, Level 3","<p class=""large"" style=""text-align: center;"">Levels of Preservation, Level 3</p>","<p class=""medium"" style=""text-align: center;"">Monitor your data</p>"
"Levels of Preservation, Level 4","<p class=""large"" style=""text-align: center;"">Levels of Preservation, Level 4</p>","<p class=""medium"" style=""text-align: center;"">Repair your data</p>"
Level 1: Storage and Geographic Location,"<p class=""large"" style=""text-align: center;"">Level 1: Storage and Geographic Location</p>","<ul>	<li>Two complete copies that are not collocated.</li>	<br>	<li>For data on heterogeneous media (optical disks, hard drives, etc.) get the content off the medium and into your storage system.</li></ul>"
Level 2: Storage and Geographic Location,"<p class=""large"" style=""text-align: center;"">Level 2: Storage and Geographic Location</p>",<ul>	<li>At least three complete copies.</li>	<br>	<li>At least one copy in a different geographic location</li>	<br>	<li>Document your storage system(s) and storage media and what you need to use them.</li></ul>
Level 3: Storage and Geographic Location,"<p class=""large"" style=""text-align: center;"">Level 3: Storage and Geographic Location</p>",<ul>	<li>A least one copy in a geographic location with a different disaster threat.</li>	<br>	<li>Obsolescence monitoring process for your storage system(s) and media.</li></ul>
Level 4: Storage and Geographic Location,"<p class=""large"" style=""text-align: center;"">Level 4: Storage and Geographic Location</p>",<ul>	<li>At least three copies in geographic locations with different disaster threats.</li>	<br>	<li>Have a comprehensive plan in place that will keep files and metadata on currently accessible media or systems.</li></ul>
Level 1: File Fixity and Data Integrity,"<p class=""large"" style=""text-align: center;"">Level 1: File Fixity and Data Integrity</p>",<ul>	<li>Check file fixity on ingest if it has been provided with the content.</li>	<br>	<li>Create fixity info if it wasn't provided with the content.</li></ul>
Level 2: File Fixity and Data Integrity,"<p class=""large"" style=""text-align: center;"">Level 2: File Fixity and Data Integrity</p>",<ul>	<li>Check fixity on all ingests.</li>	<br>	<li>Use write blockers when working with original media.</li>	<br>	<li>Virus-check high risk content.</li></ul>
Level 3: File Fixity and Data Integrity,"<p class=""large"" style=""text-align: center;"">Level 3: File Fixity and Data Integrity</p>",<ul>	<li>Check fixity of content at fixed intervals.</li>	<br>	<li>Maintain logs of fixity info; supply audit on demand.</li>	<br>	<li>Ability to detect corrupt data.</li>	<br>	<li>Virus-check all content.</li></ul>
Level 4: File Fixity and Data Integrity,"<p class=""large"" style=""text-align: center;"">Level 4: File Fixity and Data Integrity</p>",<ul>	<li>Check fixity of all content in response to specific events or activities.</li>	<br>	<li>Ability to replace/repair corrupted data.</li>	<br>	<li>Ensure no one person has write access to all copies.</li></ul>
Level 1: Information Security,"<p class=""large"" style=""text-align: center;"">Level 1: Information Security</p>","<ul>	<li>Identify who has read, write, move, and delete authorization to individual files.</li>	<br>	<li>Restrict who has those authorizations to individual files.</li></ul>"
Level 2: Information Security,"<p class=""large"" style=""text-align: center;"">Level 2: Information Security</p>","<p class=""medium"" style=""text-align: center;"">Document access restrictions for content. </p>"
Level 3: Information Security,"<p class=""large"" style=""text-align: center;"">Level 3: Information Security</p>","<p class=""medium"" style=""text-align: center;"">Maintain logs of who performed what actions on files, including deletions and preservation actions. </p>"
Level 4: Information Security,"<p class=""large"" style=""text-align: center;"">Level 4: Information Security</p>","<p class=""medium"" style=""text-align: center;"">Perform audit logs. </p>"
Level 1: Metadata,"<p class=""large"" style=""text-align: center;"">Level 1: Metadata</p>",<ul>	<li>Inventory of content and its storage locations.</li>	<br>	<li>Ensure backup and non-collocation of inventory.</li></ul>
Level 2: Metadata,"<p class=""large"" style=""text-align: center;"">Level 2: Metadata</p>",<ul>	<li>Store administrative metadata.</li>	<br>	<li>Store transformative metadata and log events.</li></ul>
Level 3: Metadata,"<p class=""large"" style=""text-align: center;"">Level 3: Metadata</p>","<p class=""medium"" style=""text-align: center;"">Store standard technical and descriptive metadata. </p>"
Level 4: Metadata,"<p class=""large"" style=""text-align: center;"">Level 4: Metadata</p>","<p class=""medium"" style=""text-align: center;"">Store standard preservation metadata. </p>"
Level 1: File Formats,"<p class=""large"" style=""text-align: center;"">Level 1: File Formats</p>","<p class=""medium"" style=""text-align: center;"">When you can give input into the creation of digital files envourage use of a limited set of known open formats and codecs. </p>"
Level 2: File Formats,"<p class=""large"" style=""text-align: center;"">Level 2: File Formats</p>","<p class=""medium"" style=""text-align: center;"">Inventory of file formats in use. </p>"
Level 3: File Formats,"<p class=""large"" style=""text-align: center;"">Level 3: File Formats</p>","<p class=""medium"" style=""text-align: center;"">Monitor file format obsolescence issues. </p>"
Level 4: File Formats,"<p class=""large"" style=""text-align: center;"">Level 4: File Formats</p>","<p class=""medium"" style=""text-align: center;"">Perform format migrations, emulation and similar activities as needed.</p>"
