"NDSR",
"ASA",
"ARANZ",
"DPC",
"Open Preservation Foundation","(plus synonyms)"
"ISO",
"LOC ",
"TNA",
"Hydra",
"DPLA",
"LOCKSS",
"Tesella",
"Ex-Libris",
"ProQuest",
"Tableau",
"Bitcurator",
"Internet Archive",
"Dublin Core",
"SRNSW",
"AVPreserve",
"BAVC",
"Digital Powrr",
"Wayback Machine",
"Access to Memory",
"Arkivum",
"DIN","<ul><li>Deutsches Institut für Normung (German Institute for Standardization)</li><br/><li>Responsible, for example, for DIN 31644 'Criteria for trustworthy digital archives'</li></ul>"
"PREMIS","The Library of Congress Preservation Metadata activity responsible for the international metadata standard, also called PREMIS, which is designed to support the long-term preservation, and usability, of digital objects."
"PTAB","Primary Trustworthy Digital Repository Authorisation Body Ltd. Responsible for three ISO standards related to establishing an internationally recognises and certified set of trustworthy digital repositories. <br/><ul><li><b>ISO 14721:2012</b> also known as CCSDS 650.0-M-2 (OAIS – a reference model for what is required for an archive to provide long-term preservation of digital information)</li><li><b>ISO 16363:2013</b> also known as CCSDS 652.0-M-1  (Audit and certification of trustworthy digital repositories – sets out comprehensive metrics for what an archive must do, based on OAIS)</li><li><b>ISO 16919:2014</b> also known as CCSDS 652.1-M-2 (Requirements for bodies providing audit and certification of candidate trustworthy digital repositories – specifies the competencies and requirements on auditing bodies)</li></ul>"
"ISO","<ul><li>International Organization for Standardization (ISO) is an independent, non-governmental international organization responsible for creating standards that support innovation and provide solutions to global challenges.</li><br/><li>It is made up of 163 national standards bodies.</li><br/><li>ISO standards are specifications for products, services and systems, to ensure quality, safety and efficiency. They are instrumental in facilitating international trade.</li><br/><li>ISO headquarters are in Geneva, Switzerland.</li></ul>"
