Name,Question,Answer
PRONOM,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">PRONOM</span></strong></p>","<p class=""medium"" style=""text-align: center;"">PRONOM is a registry of file formats that is maintained by The National Archives, UK. </p><p class=""medium"" style=""text-align: center;"">PRONOM delivers new file format information to a tool called DROID which it can use to identify files in collections and assign a unique identifier. </p>"
DROID,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>DROID</strong></span></p>","<p style=""text-align: center;"">DROID is a tool that can be used to automatically identify a file's format using 'file format signatures' that it downloads from PRONOM. </p><p style=""text-align: center;"">DROID assigns a unique identifier to a file format called a PUID (PRONOM Unique Identifier)</p>"
Nanite,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Nanite</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Nanite is a programming library that wraps DROID in a way that makes it possible for software developers to incorporate file format identification in their programs. </p>"
JHOVE,"<p style=""text-align: center;""><span class=""large""><span><strong>JHOVE</strong></span></span></p>","<p style=""text-align: center;"">JHOVE is a tool that checks whether a file format accurately conforms to its specification, for example, it can check whether date formats used in certain file types are standardized. </p><p style=""text-align: center;"">JHOVE can do this for approximately 12 formats, but the software makes it easy for more to be programmed. </p>"
Siegfried,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Siegfried</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Siegfried is a DROID like, command-line tool that also uses PRONOM information to identify file formats. </p><p class=""medium"" style=""text-align: center;"">Siegfied is approximate to DROID, but adds other mechanisms to identify file formats and alternative ways for users to interact with it.</p>"
File,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">File</span></strong></p>","<p class=""medium"" style=""text-align: center;"">File is a linux based tool for identifying file formats. Unlike DROID and Siegfried it does not return unique identifiers for what it finds. </p><p class=""medium"" style=""text-align: center;"">FIle uses a different mechanism and different corpus of information to identify the format of a digital object. </p>"
ffmprovisr,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">ffmprovisr</span></strong></p>","<p class=""medium"" style=""text-align: center;"">An online resource of community contributed ‘recipes’ (commands) for processing audio visual files through the open source audio visual transcode and characterization tool ffmpeg.</p>"
ffmpeg,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">ffmpeg</span></strong></p>","<ul>	<li class=""medium"">A free and open source tool for working with audio and video.</li>	<li class=""medium"">ffmpeg can characterize multimedia, even output visual analyses.</li>	<li class=""medium"">ffmpeg can transcode it into other file formats, and perform many other manipulations.</li>	<li class=""medium"">Developed and maintained by the ffmpeg team.</li></ul>"
rsync,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">rsync</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A utility for transferring data across file systems while maintaining key file system properties such as last-modified date, and user's permissions.</p>"
explainshell.com,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">explainshell.com</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Not strictly for digital preservation, but useful nonetheless, explainshell.com will annotate Linux commands for users and enables those annotations to be shared.</p>"
